Company,Date,quarterly_comparison
ASIANPAINT_quarterly_results,2021-12-01 00:00:00,Depreciation increased by 4.5%. EPS increased by 71.3%. Interest increased by 31.2%. Profit Before Tax increased by 71.9%.
ASIANPAINT_quarterly_results,2022-06-01 00:00:00,Depreciation remained virtually unchanged. EPS decreased by 0.3%. Interest decreased by 4.8%. Profit Before Tax increased by 0.4%.
ASIANPAINT_quarterly_results,2022-12-01 00:00:00,Depreciation increased by 2.7%. EPS increased by 6.7%. Interest increased by 25.0%. Profit Before Tax increased by 5.2%.
ASIANPAINT_quarterly_results,2023-06-01 00:00:00,Depreciation decreased by 9.0%. EPS increased by 39.0%. Interest increased by 4.0%. Profit Before Tax increased by 39.8%.
ASIANPAINT_quarterly_results,2023-12-01 00:00:00,Depreciation increased by 10.5%. EPS decreased by 4.3%. Interest increased by 19.2%. Profit Before Tax decreased by 5.2%.
ASIANPAINT_quarterly_results,2024-06-01 00:00:00,Depreciation increased by 3.2%. EPS decreased by 17.4%. Interest decreased by 3.2%. Profit Before Tax decreased by 16.8%.
AXISBANK_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
AXISBANK_quarterly_results,2021-12-01 00:00:00,EPS increased by 67.1%. Interest increased by 4.4%. Profit Before Tax increased by 67.4%.
AXISBANK_quarterly_results,2022-06-01 00:00:00,EPS increased by 14.0%. Interest increased by 8.5%. Profit Before Tax increased by 14.5%.
AXISBANK_quarterly_results,2022-12-01 00:00:00,EPS increased by 41.7%. Interest increased by 15.2%. Profit Before Tax increased by 41.8%.
AXISBANK_quarterly_results,2023-06-01 00:00:00,EPS decreased by 1.1%. Interest increased by 26.3%. Profit Before Tax decreased by 0.8%.
AXISBANK_quarterly_results,2023-12-01 00:00:00,EPS increased by 4.6%. Interest increased by 13.5%. Profit Before Tax increased by 4.3%.
AXISBANK_quarterly_results,2024-06-01 00:00:00,EPS decreased by 0.8%. Interest increased by 7.7%. Profit Before Tax decreased by 0.6%.
BAJAJ-AUTO_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
BAJAJ-AUTO_quarterly_results,2021-12-01 00:00:00,Depreciation increased by 9.4%. EPS increased by 14.4%. Interest remained virtually unchanged. Profit Before Tax increased by 13.7%.
BAJAJ-AUTO_quarterly_results,2022-06-01 00:00:00,Depreciation decreased by 4.3%. EPS decreased by 3.4%. Interest increased by 2.0 times. Profit Before Tax decreased by 1.8%.
BAJAJ-AUTO_quarterly_results,2022-12-01 00:00:00,Depreciation increased by 10.4%. EPS increased by 30.0%. Interest increased by 2.0 times. Profit Before Tax increased by 27.1%.
BAJAJ-AUTO_quarterly_results,2023-06-01 00:00:00,Depreciation increased by 13.5%. EPS increased by 11.6%. Interest increased by 50.0%. Profit Before Tax increased by 12.3%.
BAJAJ-AUTO_quarterly_results,2023-12-01 00:00:00,Depreciation increased by 4.8%. EPS increased by 22.6%. Interest remained virtually unchanged. Profit Before Tax increased by 21.4%.
BAJAJ-AUTO_quarterly_results,2024-06-01 00:00:00,Depreciation increased by 6.8%. EPS decreased by 1.2%. Interest increased by 75.0%. Profit Before Tax decreased by 2.0%.
BAJAJFINSV_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
BAJAJFINSV_quarterly_results,2021-12-01 00:00:00,Depreciation remained virtually unchanged. Profit Before Tax increased by 225.0 times.
BAJAJFINSV_quarterly_results,2022-06-01 00:00:00,Depreciation remained virtually unchanged. EPS increased by 37.7%. Profit Before Tax increased by 38.7%.
BAJAJFINSV_quarterly_results,2022-12-01 00:00:00,Depreciation remained virtually unchanged. EPS decreased by 97.9%. Profit Before Tax decreased by 98.1%.
BAJAJFINSV_quarterly_results,2023-06-01 00:00:00,Depreciation remained virtually unchanged. EPS increased by 84.3 times. Profit Before Tax increased by 91.5 times.
BAJAJFINSV_quarterly_results,2023-12-01 00:00:00,Depreciation remained virtually unchanged. EPS decreased by 98.8%. Profit Before Tax decreased by 98.7%.
BAJAJFINSV_quarterly_results,2024-06-01 00:00:00,Depreciation remained virtually unchanged. EPS increased by 132.0 times. Profit Before Tax increased by 122.4 times.
BAJFINANCE_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
BAJFINANCE_quarterly_results,2021-12-01 00:00:00,Depreciation increased by 8.5%. EPS increased by 2.3 times. Interest increased by 11.8%. Profit Before Tax increased by 2.3 times.
BAJFINANCE_quarterly_results,2022-06-01 00:00:00,Depreciation increased by 14.6%. EPS increased by 21.4%. Interest increased by 1.7%. Profit Before Tax increased by 21.7%.
BAJFINANCE_quarterly_results,2022-12-01 00:00:00,Depreciation increased by 5.9%. EPS increased by 11.4%. Interest increased by 22.4%. Profit Before Tax increased by 11.5%.
BAJFINANCE_quarterly_results,2023-06-01 00:00:00,Depreciation increased by 32.4%. EPS increased by 12.7%. Interest increased by 22.7%. Profit Before Tax increased by 13.1%.
BAJFINANCE_quarterly_results,2023-12-01 00:00:00,Depreciation increased by 13.3%. EPS increased by 5.3%. Interest increased by 20.1%. Profit Before Tax increased by 7.1%.
BAJFINANCE_quarterly_results,2024-06-01 00:00:00,Depreciation increased by 14.8%. EPS increased by 6.9%. Interest increased by 16.1%. Profit Before Tax increased by 7.2%.
BEL_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
BEL_quarterly_results,2021-12-01 00:00:00,Depreciation increased by 1.1%. EPS increased by 40.0 times. Profit Before Tax increased by 52.5 times.
BEL_quarterly_results,2022-06-01 00:00:00,Depreciation increased by 1.1%. EPS decreased by 26.3%. Profit Before Tax decreased by 26.6%.
BEL_quarterly_results,2022-12-01 00:00:00,Depreciation increased by 7.4%. EPS increased by 39.0%. Interest increased by 10.0 times. Profit Before Tax increased by 38.4%.
BEL_quarterly_results,2023-06-01 00:00:00,Depreciation remained virtually unchanged. EPS decreased by 11.0%. Interest decreased by 90.0%. Profit Before Tax decreased by 12.0%.
BEL_quarterly_results,2023-12-01 00:00:00,Depreciation decreased by 1.0%. EPS increased by 67.1%. Interest remained virtually unchanged. Profit Before Tax increased by 66.5%.
BEL_quarterly_results,2024-06-01 00:00:00,Depreciation remained virtually unchanged. EPS decreased by 13.1%. Interest remained virtually unchanged. Profit Before Tax decreased by 11.5%.
BHARTIARTL_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
BHARTIARTL_quarterly_results,2021-12-01 00:00:00,Depreciation increased by 8.8%. EPS increased by 2.7%. Interest decreased by 10.0%. Profit Before Tax decreased by 0.5%.
BHARTIARTL_quarterly_results,2022-06-01 00:00:00,Depreciation increased by 3.4%. EPS decreased by 2.4 times. Interest increased by 19.2%. Profit Before Tax decreased by 2.5 times.
BHARTIARTL_quarterly_results,2022-12-01 00:00:00,Depreciation increased by 2.8%. EPS decreased by 3.1 times. Interest decreased by 10.5%. Profit Before Tax decreased by 2.0 times.
BHARTIARTL_quarterly_results,2023-06-01 00:00:00,Depreciation increased by 4.1%. EPS decreased by 145.1%. Interest decreased by 2.2%. Profit Before Tax decreased by 167.3%.
BHARTIARTL_quarterly_results,2023-12-01 00:00:00,Depreciation increased by 7.6%. EPS decreased by 3.8%. Interest increased by 2.8%. Profit Before Tax increased by 3.6%.
BHARTIARTL_quarterly_results,2024-06-01 00:00:00,Depreciation increased by 6.3%. EPS increased by 72.9%. Interest increased by 3.3%. Profit Before Tax increased by 49.7%.
BPCL_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
BPCL_quarterly_results,2021-12-01 00:00:00,Depreciation increased by 21.3%. EPS increased by 88.4%. Interest increased by 16.0%. Profit Before Tax increased by 90.7%.
BPCL_quarterly_results,2022-06-01 00:00:00,Depreciation increased by 16.1%. EPS decreased by 2.2 times. Interest increased by 9.0%. Profit Before Tax decreased by 2.0 times.
BPCL_quarterly_results,2022-12-01 00:00:00,Depreciation decreased by 1.9%. EPS decreased by 131.3%. Interest increased by 58.8%. Profit Before Tax decreased by 127.8%.
BPCL_quarterly_results,2023-06-01 00:00:00,Depreciation increased by 1.7%. EPS increased by 5.4 times. Interest decreased by 30.6%. Profit Before Tax increased by 6.6 times.
BPCL_quarterly_results,2023-12-01 00:00:00,Depreciation increased by 13.4%. EPS decreased by 67.8%. Interest decreased by 26.1%. Profit Before Tax decreased by 67.3%.
BPCL_quarterly_results,2024-06-01 00:00:00,Depreciation decreased by 7.8%. EPS decreased by 11.2%. Interest decreased by 11.8%. Profit Before Tax decreased by 12.0%.
BRITANNIA_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
BRITANNIA_quarterly_results,2021-12-01 00:00:00,Depreciation increased by 2.4%. EPS decreased by 23.5%. Interest increased by 9.4%. Profit Before Tax decreased by 18.9%.
BRITANNIA_quarterly_results,2022-06-01 00:00:00,Depreciation increased by 2.3%. EPS decreased by 9.8%. Interest increased by 11.4%. Profit Before Tax decreased by 9.8%.
BRITANNIA_quarterly_results,2022-12-01 00:00:00,Depreciation increased by 13.6%. EPS increased by 2.4 times. Interest decreased by 10.3%. Profit Before Tax increased by 2.2 times.
BRITANNIA_quarterly_results,2023-06-01 00:00:00,Depreciation increased by 26.0%. EPS decreased by 42.2%. Interest increased by 37.1%. Profit Before Tax decreased by 38.1%.
BRITANNIA_quarterly_results,2023-12-01 00:00:00,Depreciation increased by 12.7%. EPS increased by 21.5%. Interest decreased by 39.6%. Profit Before Tax increased by 21.9%.
BRITANNIA_quarterly_results,2024-06-01 00:00:00,Depreciation decreased by 5.6%. EPS decreased by 6.8%. Interest remained virtually unchanged. Profit Before Tax decreased by 8.6%.
CIPLA_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
CIPLA_quarterly_results,2021-12-01 00:00:00,Depreciation decreased by 2.2%. EPS decreased by 7.7%. Interest decreased by 25.0%. Profit Before Tax decreased by 10.6%.
CIPLA_quarterly_results,2022-06-01 00:00:00,Depreciation decreased by 4.5%. EPS increased by 3.9%. Interest decreased by 66.7%. Profit Before Tax increased by 4.7%.
CIPLA_quarterly_results,2022-12-01 00:00:00,Depreciation increased by 1.6%. EPS decreased by 10.6%. Interest increased by 3.0 times. Profit Before Tax decreased by 10.8%.
CIPLA_quarterly_results,2023-06-01 00:00:00,Depreciation increased by 4.6%. EPS increased by 31.9%. Interest decreased by 100.0%. Profit Before Tax increased by 36.1%.
CIPLA_quarterly_results,2023-12-01 00:00:00,Depreciation decreased by 0.7%. EPS increased by 24.4%. Profit Before Tax increased by 20.5%.
CIPLA_quarterly_results,2024-06-01 00:00:00,Depreciation increased by 2.2%. EPS decreased by 5.2%. Interest decreased by 44.4%. Profit Before Tax decreased by 3.2%.
COALINDIA_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
COALINDIA_quarterly_results,2021-12-01 00:00:00,Depreciation remained virtually unchanged. EPS decreased by 114.5 times. Profit Before Tax decreased by 126.4 times.
COALINDIA_quarterly_results,2022-06-01 00:00:00,Depreciation remained virtually unchanged. EPS decreased by 97.2%. Profit Before Tax decreased by 96.2%.
COALINDIA_quarterly_results,2022-12-01 00:00:00,Depreciation increased by 2.2 times. EPS increased by 55.0 times. Profit Before Tax increased by 41.1 times.
COALINDIA_quarterly_results,2023-06-01 00:00:00,Depreciation remained virtually unchanged. EPS decreased by 89.6%. Interest remained virtually unchanged. Profit Before Tax decreased by 89.0%.
COALINDIA_quarterly_results,2023-12-01 00:00:00,Depreciation remained virtually unchanged. EPS increased by 10.1 times. Interest remained virtually unchanged. Profit Before Tax increased by 9.6 times.
COALINDIA_quarterly_results,2024-06-01 00:00:00,Depreciation remained virtually unchanged. EPS decreased by 99.1%. Interest increased by 2.0 times. Profit Before Tax decreased by 98.7%.
DRREDDY_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
DRREDDY_quarterly_results,2021-12-01 00:00:00,Depreciation increased by 4.1%. EPS decreased by 17.5%. Interest increased by 33.3%. Profit Before Tax decreased by 14.7%.
DRREDDY_quarterly_results,2022-06-01 00:00:00,Depreciation increased by 8.3%. EPS increased by 46.4%. Interest increased by 25.0%. Profit Before Tax increased by 62.1%.
DRREDDY_quarterly_results,2022-12-01 00:00:00,Depreciation increased by 7.7%. EPS decreased by 35.1%. Interest decreased by 70.0%. Profit Before Tax decreased by 35.5%.
DRREDDY_quarterly_results,2023-06-01 00:00:00,Depreciation decreased by 0.8%. EPS increased by 5.1 times. Interest increased by 33.3%. Profit Before Tax increased by 4.6 times.
DRREDDY_quarterly_results,2023-12-01 00:00:00,Depreciation increased by 3.8%. EPS decreased by 71.1%. Interest increased by 50.0%. Profit Before Tax decreased by 71.5%.
DRREDDY_quarterly_results,2024-06-01 00:00:00,Depreciation increased by 1.6%. EPS increased by 3.0 times. Interest increased by 16.7%. Profit Before Tax increased by 3.0 times.
EICHERMOT_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
EICHERMOT_quarterly_results,2021-12-01 00:00:00,Depreciation remained virtually unchanged. EPS increased by 58.0%. Interest increased by 2.5 times. Profit Before Tax increased by 57.9%.
EICHERMOT_quarterly_results,2022-06-01 00:00:00,Depreciation increased by 3.6%. EPS increased by 37.4%. Interest decreased by 40.0%. Profit Before Tax increased by 35.9%.
EICHERMOT_quarterly_results,2022-12-01 00:00:00,Depreciation increased by 14.9%. EPS increased by 17.3%. Interest increased by 33.3%. Profit Before Tax increased by 19.6%.
EICHERMOT_quarterly_results,2023-06-01 00:00:00,Depreciation increased by 3.1%. EPS increased by 34.3%. Interest decreased by 25.0%. Profit Before Tax increased by 32.3%.
EICHERMOT_quarterly_results,2023-12-01 00:00:00,Depreciation increased by 2.2%. EPS decreased by 0.1%. Interest increased by 66.7%. Profit Before Tax increased by 1.0%.
EICHERMOT_quarterly_results,2024-06-01 00:00:00,Depreciation increased by 14.5%. EPS increased by 19.0%. Interest decreased by 20.0%. Profit Before Tax increased by 17.4%.
GRASIM_quarterly_results,2021-09-01 00:00:00,No previous quarter data available
GRASIM_quarterly_results,2022-03-01 00:00:00,Depreciation increased by 36.7%. EPS increased by 9.1%. Interest increased by 47.3%. Profit Before Tax decreased by 48.0%.
GRASIM_quarterly_results,2022-09-01 00:00:00,Depreciation decreased by 6.0%. EPS decreased by 9.7%. Interest increased by 4.9%. Profit Before Tax increased by 92.3%.
GRASIM_quarterly_results,2023-03-01 00:00:00,Depreciation increased by 12.8%. EPS decreased by 90.3%. Interest increased by 25.9%. Profit Before Tax decreased by 89.4%.
GRASIM_quarterly_results,2023-09-01 00:00:00,Depreciation decreased by 2.7%. EPS increased by 8.5 times. Interest remained virtually unchanged. Profit Before Tax increased by 7.1 times.
GRASIM_quarterly_results,2024-03-01 00:00:00,Depreciation increased by 16.1%. EPS decreased by 157.4%. Interest increased by 13.1%. Profit Before Tax decreased by 140.6%.
HCLTECH_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
HCLTECH_quarterly_results,2021-12-01 00:00:00,Depreciation increased by 10.3%. EPS decreased by 1.3%. Interest decreased by 6.7%. Profit Before Tax increased by 0.5%.
HCLTECH_quarterly_results,2022-06-01 00:00:00,Depreciation decreased by 19.5%. EPS increased by 1.5%. Interest decreased by 3.6%. Profit Before Tax increased by 4.7%.
HCLTECH_quarterly_results,2022-12-01 00:00:00,Depreciation increased by 17.1%. EPS increased by 19.4%. Interest increased by 22.2%. Profit Before Tax increased by 18.3%.
HCLTECH_quarterly_results,2023-06-01 00:00:00,Depreciation decreased by 26.2%. EPS decreased by 18.8%. Interest decreased by 12.1%. Profit Before Tax decreased by 17.4%.
HCLTECH_quarterly_results,2023-12-01 00:00:00,Depreciation increased by 34.0%. EPS increased by 28.9%. Interest remained virtually unchanged. Profit Before Tax increased by 28.8%.
HCLTECH_quarterly_results,2024-06-01 00:00:00,Depreciation decreased by 15.8%. EPS decreased by 25.9%. Interest increased by 62.1%. Profit Before Tax decreased by 22.5%.
HDFCBANK_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
HDFCBANK_quarterly_results,2021-12-01 00:00:00,EPS increased by 33.4%. Interest increased by 4.1%. Profit Before Tax increased by 33.7%.
HDFCBANK_quarterly_results,2022-06-01 00:00:00,EPS decreased by 11.3%. Interest increased by 11.9%. Profit Before Tax decreased by 11.6%.
HDFCBANK_quarterly_results,2022-12-01 00:00:00,EPS increased by 32.7%. Interest increased by 25.7%. Profit Before Tax increased by 33.2%.
HDFCBANK_quarterly_results,2023-06-01 00:00:00,EPS decreased by 2.8%. Interest increased by 26.7%. Profit Before Tax decreased by 1.9%.
HDFCBANK_quarterly_results,2023-12-01 00:00:00,EPS increased by 0.9%. Interest increased by 68.5%. Profit Before Tax increased by 22.1%.
HDFCBANK_quarterly_results,2024-06-01 00:00:00,EPS decreased by 1.4%. Interest increased by 2.6%. Profit Before Tax increased by 9.5%.
HDFCLIFE_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
HDFCLIFE_quarterly_results,2021-12-01 00:00:00,EPS decreased by 10.0%. Profit Before Tax decreased by 3.9%.
HDFCLIFE_quarterly_results,2022-06-01 00:00:00,EPS increased by 25.9%. Profit Before Tax increased by 28.3%.
HDFCLIFE_quarterly_results,2022-12-01 00:00:00,EPS decreased by 13.5%. Profit Before Tax decreased by 51.3%.
HDFCLIFE_quarterly_results,2023-06-01 00:00:00,EPS increased by 31.3%. Profit Before Tax increased by 2.4 times.
HDFCLIFE_quarterly_results,2023-12-01 00:00:00,EPS decreased by 11.9%. Profit Before Tax decreased by 16.9%.
HDFCLIFE_quarterly_results,2024-06-01 00:00:00,EPS increased by 30.6%. Profit Before Tax increased by 9.6%.
HEROMOTOCO_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
HEROMOTOCO_quarterly_results,2021-12-01 00:00:00,Depreciation increased by 0.6%. EPS increased by 87.8%. Interest increased by 16.7%. Profit Before Tax increased by 88.2%.
HEROMOTOCO_quarterly_results,2022-06-01 00:00:00,Depreciation decreased by 0.6%. EPS decreased by 9.0%. Interest remained virtually unchanged. Profit Before Tax decreased by 9.5%.
HEROMOTOCO_quarterly_results,2022-12-01 00:00:00,Depreciation decreased by 0.6%. EPS increased by 13.9%. Interest decreased by 28.6%. Profit Before Tax increased by 14.1%.
HEROMOTOCO_quarterly_results,2023-06-01 00:00:00,Depreciation increased by 4.3%. EPS increased by 16.0%. Interest remained virtually unchanged. Profit Before Tax increased by 16.5%.
HEROMOTOCO_quarterly_results,2023-12-01 00:00:00,Depreciation increased by 8.3%. EPS increased by 30.1%. Interest remained virtually unchanged. Profit Before Tax increased by 29.4%.
HEROMOTOCO_quarterly_results,2024-06-01 00:00:00,Depreciation increased by 5.5%. EPS increased by 4.6%. Interest remained virtually unchanged. Profit Before Tax increased by 5.4%.
HINDALCO_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
HINDALCO_quarterly_results,2021-12-01 00:00:00,Depreciation decreased by 1.1%. EPS increased by 52.6%. Interest increased by 6.9%. Profit Before Tax increased by 48.7%.
HINDALCO_quarterly_results,2022-06-01 00:00:00,Depreciation increased by 3.2%. EPS increased by 4.2%. Interest decreased by 10.2%. Profit Before Tax increased by 8.7%.
HINDALCO_quarterly_results,2022-12-01 00:00:00,Depreciation increased by 2.9%. EPS decreased by 65.5%. Interest decreased by 7.2%. Profit Before Tax decreased by 69.0%.
HINDALCO_quarterly_results,2023-06-01 00:00:00,Depreciation increased by 3.9%. EPS increased by 20.3%. Interest increased by 13.9%. Profit Before Tax increased by 33.0%.
HINDALCO_quarterly_results,2023-12-01 00:00:00,Depreciation increased by 0.2%. EPS increased by 39.7%. Interest decreased by 9.9%. Profit Before Tax increased by 37.9%.
HINDALCO_quarterly_results,2024-06-01 00:00:00,Depreciation increased by 3.3%. EPS increased by 75.6%. Interest decreased by 23.0%. Profit Before Tax increased by 66.7%.
HINDUNILVR_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
HINDUNILVR_quarterly_results,2021-12-01 00:00:00,Depreciation increased by 4.5%. EPS increased by 8.9%. Interest increased by 2.3 times. Profit Before Tax increased by 14.8%.
HINDUNILVR_quarterly_results,2022-06-01 00:00:00,Depreciation increased by 2.0%. EPS increased by 2.0%. Interest increased by 4.0%. Profit Before Tax increased by 2.1%.
HINDUNILVR_quarterly_results,2022-12-01 00:00:00,Depreciation remained virtually unchanged. EPS increased by 9.4%. Interest remained virtually unchanged. Profit Before Tax increased by 9.4%.
HINDUNILVR_quarterly_results,2023-06-01 00:00:00,Depreciation decreased by 1.2%. EPS decreased by 1.3%. Interest increased by 80.8%. Profit Before Tax decreased by 0.4%.
HINDUNILVR_quarterly_results,2023-12-01 00:00:00,Depreciation increased by 9.7%. EPS increased by 1.9%. Interest increased by 72.3%. Profit Before Tax increased by 2.0%.
HINDUNILVR_quarterly_results,2024-06-01 00:00:00,Depreciation increased by 5.7%. EPS increased by 0.7%. Interest increased by 4.9%. Profit Before Tax remained virtually unchanged.
ICICIBANK_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
ICICIBANK_quarterly_results,2021-12-01 00:00:00,EPS increased by 33.7%. Interest increased by 4.2%. Profit Before Tax increased by 34.7%.
ICICIBANK_quarterly_results,2022-06-01 00:00:00,EPS increased by 11.3%. Interest increased by 6.2%. Profit Before Tax increased by 12.6%.
ICICIBANK_quarterly_results,2022-12-01 00:00:00,EPS increased by 19.9%. Interest increased by 15.1%. Profit Before Tax increased by 20.2%.
ICICIBANK_quarterly_results,2023-06-01 00:00:00,EPS increased by 15.8%. Interest increased by 25.4%. Profit Before Tax increased by 16.6%.
ICICIBANK_quarterly_results,2023-12-01 00:00:00,EPS increased by 6.2%. Interest increased by 19.3%. Profit Before Tax increased by 6.4%.
ICICIBANK_quarterly_results,2024-06-01 00:00:00,EPS increased by 7.4%. Interest increased by 7.9%. Profit Before Tax increased by 7.5%.
INDUSINDBK_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
INDUSINDBK_quarterly_results,2021-12-01 00:00:00,EPS increased by 19.0%. Interest decreased by 1.7%. Profit Before Tax increased by 20.5%.
INDUSINDBK_quarterly_results,2022-06-01 00:00:00,EPS increased by 38.0%. Interest increased by 2.9%. Profit Before Tax increased by 38.2%.
INDUSINDBK_quarterly_results,2022-12-01 00:00:00,EPS increased by 22.2%. Interest increased by 22.3%. Profit Before Tax increased by 22.1%.
INDUSINDBK_quarterly_results,2023-06-01 00:00:00,EPS increased by 8.3%. Interest increased by 18.2%. Profit Before Tax increased by 8.5%.
INDUSINDBK_quarterly_results,2023-12-01 00:00:00,EPS increased by 8.0%. Interest increased by 7.1%. Profit Before Tax increased by 8.1%.
INDUSINDBK_quarterly_results,2024-06-01 00:00:00,EPS decreased by 6.5%. Interest increased by 13.7%. Profit Before Tax decreased by 6.2%.
INFY_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
INFY_quarterly_results,2021-12-01 00:00:00,Depreciation increased by 9.5%. EPS increased by 25.9%. Interest increased by 3.1%. Profit Before Tax increased by 20.0%.
INFY_quarterly_results,2022-06-01 00:00:00,Depreciation increased by 1.9%. EPS decreased by 16.5%. Interest increased by 3.0%. Profit Before Tax decreased by 11.4%.
INFY_quarterly_results,2022-12-01 00:00:00,Depreciation increased by 10.9%. EPS increased by 27.0%. Interest increased by 20.6%. Profit Before Tax increased by 20.2%.
INFY_quarterly_results,2023-06-01 00:00:00,Depreciation increased by 4.6%. EPS decreased by 3.0%. Interest increased by 4.9%. Profit Before Tax decreased by 1.8%.
INFY_quarterly_results,2023-12-01 00:00:00,Depreciation decreased by 1.1%. EPS increased by 10.0%. Interest increased by 90.7%. Profit Before Tax increased by 9.0%.
INFY_quarterly_results,2024-06-01 00:00:00,Depreciation decreased by 5.4%. EPS decreased by 12.0%. Interest decreased by 28.0%. Profit Before Tax decreased by 8.4%.
ITC_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
ITC_quarterly_results,2021-12-01 00:00:00,Depreciation increased by 3.5%. EPS increased by 37.6%. Interest increased by 10.0%. Profit Before Tax increased by 36.8%.
ITC_quarterly_results,2022-06-01 00:00:00,Depreciation increased by 0.7%. EPS increased by 0.3%. Interest decreased by 18.2%. Profit Before Tax increased by 0.9%.
ITC_quarterly_results,2022-12-01 00:00:00,Depreciation decreased by 1.2%. EPS increased by 19.8%. Interest increased by 11.1%. Profit Before Tax increased by 20.5%.
ITC_quarterly_results,2023-06-01 00:00:00,Depreciation decreased by 1.2%. EPS decreased by 2.7%. Interest increased by 10.0%. Profit Before Tax decreased by 2.0%.
ITC_quarterly_results,2023-12-01 00:00:00,Depreciation increased by 3.7%. EPS increased by 13.5%. Interest increased by 9.1%. Profit Before Tax increased by 2.7%.
ITC_quarterly_results,2024-06-01 00:00:00,Depreciation increased by 3.4%. EPS decreased by 11.9%. Interest decreased by 8.3%. Profit Before Tax decreased by 2.6%.
JSWSTEEL_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
JSWSTEEL_quarterly_results,2021-12-01 00:00:00,Depreciation increased by 23.9%. EPS decreased by 34.9%. Interest increased by 5.2%. Profit Before Tax decreased by 35.5%.
JSWSTEEL_quarterly_results,2022-06-01 00:00:00,Depreciation decreased by 4.9%. EPS decreased by 72.1%. Interest increased by 16.1%. Profit Before Tax decreased by 71.8%.
JSWSTEEL_quarterly_results,2022-12-01 00:00:00,Depreciation increased by 7.3%. EPS increased by 29.4%. Interest increased by 30.5%. Profit Before Tax increased by 21.7%.
JSWSTEEL_quarterly_results,2023-06-01 00:00:00,Depreciation increased by 0.2%. EPS increased by 38.0%. Interest increased by 8.4%. Profit Before Tax increased by 48.3%.
